Seed,Scheme,Approach,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
0,None,Oracle,0.0,0.6263736263736264,0.6139455782312925,0.5277777777777778,0.7210884353741497
0,MCAR_0.2,naive,17.78,0.6703296703296703,0.6581632653061225,0.5833333333333334,0.7147716229348882
0,MCAR_0.2,pseudo_labels,17.78,0.7142857142857143,0.7057823129251701,0.6578947368421053,0.726919339164237
0,MCAR_0.2,iterative_pseudo_labels,17.78,0.7142857142857143,0.7057823129251701,0.6578947368421053,0.726919339164237
0,MCAR_0.5,naive,46.3,0.6373626373626373,0.6292517006802721,0.5714285714285714,0.6805150631681244
0,MCAR_0.5,pseudo_labels,46.3,0.7142857142857143,0.7091836734693877,0.675,0.7201166180758017
0,MCAR_0.5,iterative_pseudo_labels,46.3,0.7032967032967034,0.6989795918367347,0.6666666666666666,0.715743440233236
0,MCAR_0.8,naive,78.52,0.6373626373626373,0.620748299319728,0.5074626865671642,0.6909620991253644
0,MCAR_0.8,pseudo_labels,78.52,0.6483516483516484,0.629251700680272,0.5,0.7201166180758016
0,MCAR_0.8,iterative_pseudo_labels,78.52,0.6263736263736264,0.6020408163265306,0.41379310344827586,0.6239067055393586
0,MAR1,naive,42.96,0.6483516483516484,0.6428571428571428,0.6,0.7006802721088435
0,MAR1,pseudo_labels,42.96,0.6923076923076923,0.6836734693877551,0.631578947368421,0.7103984450923226
0,MAR1,iterative_pseudo_labels,42.96,0.6813186813186813,0.6751700680272108,0.6329113924050633,0.7040816326530612
0,MAR2,naive,24.44,0.6703296703296703,0.6683673469387755,0.6428571428571429,0.7206025267249757
0,MAR2,pseudo_labels,24.44,0.6813186813186813,0.6768707482993197,0.6419753086419753,0.750728862973761
0,MAR2,iterative_pseudo_labels,24.44,0.6813186813186813,0.6768707482993197,0.6419753086419753,0.750728862973761
0,MNAR,naive,18.15,0.6813186813186813,0.6802721088435374,0.6588235294117647,0.7351797862001943
0,MNAR,pseudo_labels,18.15,0.6923076923076923,0.6870748299319728,0.65,0.7346938775510203
0,MNAR,iterative_pseudo_labels,18.15,0.6923076923076923,0.6870748299319728,0.65,0.7346938775510203
1,None,Oracle,0.0,0.7582417582417582,0.7482993197278911,0.7027027027027027,0.7881438289601554
1,MCAR_0.2,naive,16.67,0.7582417582417582,0.75,0.7105263157894737,0.8017492711370262
1,MCAR_0.2,pseudo_labels,16.67,0.7582417582417582,0.75,0.7105263157894737,0.7978620019436345
1,MCAR_0.2,iterative_pseudo_labels,16.67,0.7582417582417582,0.75,0.7105263157894737,0.7978620019436345
1,MCAR_0.5,naive,51.85,0.7252747252747253,0.717687074829932,0.6753246753246753,0.7866861030126336
1,MCAR_0.5,pseudo_labels,51.85,0.7582417582417582,0.7482993197278911,0.7027027027027027,0.794460641399417
1,MCAR_0.5,iterative_pseudo_labels,51.85,0.7802197802197802,0.7721088435374149,0.7368421052631579,0.7730806608357629
1,MCAR_0.8,naive,79.26,0.7362637362637363,0.7329931972789115,0.7073170731707317,0.7575315840621963
1,MCAR_0.8,pseudo_labels,79.26,0.6923076923076923,0.685374149659864,0.6410256410256411,0.7444120505344995
1,MCAR_0.8,iterative_pseudo_labels,79.26,0.6483516483516484,0.6309523809523809,0.5151515151515151,0.7084548104956269
1,MAR1,naive,31.85,0.7252747252747253,0.7142857142857142,0.6575342465753424,0.7453838678328474
1,MAR1,pseudo_labels,31.85,0.7252747252747253,0.7125850340136055,0.647887323943662,0.7448979591836734
1,MAR1,iterative_pseudo_labels,31.85,0.7142857142857143,0.6938775510204082,0.5806451612903226,0.770651117589893
1,MAR2,naive,22.59,0.7802197802197802,0.7687074829931972,0.7222222222222222,0.803692905733722
