Seed,Scheme,Approach,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
0,None,Oracle,,,0.0,0.8076923076923077,0.8006535947712419,0.8484848484848485,0.9150326797385622
0,MCAR_0.2,naive,,,21.33,0.7692307692307693,0.7712418300653594,0.8125,0.8300653594771241
0,MCAR_0.2,self_training,1.0,SVC,21.33,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.8758169934640523
0,MCAR_0.2,self_training,1.0,LogisticRegression,21.33,0.7307692307692307,0.7418300653594772,0.7741935483870968,0.803921568627451
0,MCAR_0.2,self_training,1.0,RandomForestClassifier,21.33,0.8461538461538461,0.8562091503267973,0.875,0.9215686274509804
0,MCAR_0.2,self_training,1.0,XGBClassifier,21.33,0.8461538461538461,0.8562091503267973,0.875,0.9215686274509804
0,MCAR_0.2,label_propagation,,,21.33,0.8076923076923077,0.7483660130718954,0.8648648648648649,0.934640522875817
0,MCAR_0.5,naive,,,52.0,0.8076923076923077,0.826797385620915,0.8387096774193549,0.8366013071895425
0,MCAR_0.5,self_training,1.0,SVC,52.0,0.8076923076923077,0.8529411764705883,0.8275862068965517,0.8823529411764706
0,MCAR_0.5,self_training,1.0,LogisticRegression,52.0,0.8846153846153846,0.9117647058823529,0.9032258064516129,0.869281045751634
0,MCAR_0.5,self_training,1.0,RandomForestClassifier,52.0,0.8076923076923077,0.826797385620915,0.8387096774193549,0.8954248366013071
0,MCAR_0.5,self_training,1.0,XGBClassifier,52.0,0.8461538461538461,0.8300653594771241,0.8823529411764706,0.9542483660130718
0,MCAR_0.5,label_propagation,,,52.0,0.7307692307692307,0.7679738562091503,0.7586206896551724,0.8627450980392156
0,MCAR_0.8,naive,,,76.0,0.6923076923076923,0.7124183006535948,0.7333333333333333,0.7647058823529412
0,MCAR_0.8,self_training,1.0,SVC,76.0,0.5,0.565359477124183,0.48,0.5228758169934641
0,MCAR_0.8,self_training,1.0,LogisticRegression,76.0,0.6923076923076923,0.6862745098039216,0.75,0.7843137254901962
