Seed,Scheme,Approach,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
0,None,Oracle,0.0,0.9368836291913215,0.543717105263158,0.15789473684210525,0.8626644736842106
0,MCAR_0.2,naive,19.54,0.9329388560157791,0.5416118421052631,0.15,0.8622697368421053
0,MCAR_0.2,pseudo_labels,19.54,0.9388560157790927,0.5301973684210526,0.11428571428571428,0.8603947368421053
0,MCAR_0.2,iterative_pseudo_labels,19.54,0.9388560157790927,0.5301973684210526,0.11428571428571428,0.8603947368421053
0,MCAR_0.5,naive,50.86,0.9349112426035503,0.5863815789473684,0.26666666666666666,0.8562500000000001
0,MCAR_0.5,pseudo_labels,50.86,0.9388560157790927,0.515625,0.06060606060606061,0.8452631578947368
0,MCAR_0.5,iterative_pseudo_labels,50.86,0.9388560157790927,0.515625,0.06060606060606061,0.8452631578947368
0,MCAR_0.8,naive,78.95,0.9349112426035503,0.5718092105263157,0.23255813953488372,0.8582894736842106
0,MCAR_0.8,pseudo_labels,78.95,0.9368836291913215,0.5,0.0,0.8499342105263158
0,MCAR_0.8,iterative_pseudo_labels,78.95,0.9368836291913215,0.5,0.0,0.8499342105263158
0,MAR1,naive,24.14,0.9368836291913215,0.543717105263158,0.15789473684210525,0.8589473684210526
0,MAR1,pseudo_labels,24.14,0.9388560157790927,0.5301973684210526,0.11428571428571428,0.858421052631579
0,MAR1,iterative_pseudo_labels,24.14,0.9388560157790927,0.5301973684210526,0.11428571428571428,0.858421052631579
0,MAR2,naive,25.0,0.9388560157790927,0.5447697368421053,0.16216216216216217,0.8518749999999999
0,MAR2,pseudo_labels,25.0,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8548026315789474
0,MAR2,iterative_pseudo_labels,25.0,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8548026315789474
0,MNAR,naive,25.46,0.9329388560157791,0.4978947368421053,0.0,0.8580263157894737
0,MNAR,pseudo_labels,25.46,0.9368836291913215,0.5,0.0,0.856875
0,MNAR,iterative_pseudo_labels,25.46,0.9368836291913215,0.5,0.0,0.856875
1,None,Oracle,0.0,0.9388560157790927,0.515625,0.06060606060606061,0.8840131578947368
1,MCAR_0.2,naive,19.87,0.9408284023668639,0.5458223684210526,0.16666666666666666,0.8904605263157894
1,MCAR_0.2,pseudo_labels,19.87,0.9388560157790927,0.515625,0.06060606060606061,0.9021052631578947
1,MCAR_0.2,iterative_pseudo_labels,19.87,0.9388560157790927,0.515625,0.06060606060606061,0.9021052631578947
1,MCAR_0.5,naive,51.58,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8817763157894737
1,MCAR_0.5,pseudo_labels,51.58,0.9368836291913215,0.5,0.0,0.8714473684210526
1,MCAR_0.5,iterative_pseudo_labels,51.58,0.9368836291913215,0.5,0.0,0.8714473684210526
1,MCAR_0.8,naive,80.72,0.9428007889546351,0.5760197368421053,0.2564102564102564,0.8676315789473684
1,MCAR_0.8,pseudo_labels,80.72,0.9368836291913215,0.5,0.0,0.8551315789473684
1,MCAR_0.8,iterative_pseudo_labels,80.72,0.9368836291913215,0.5,0.0,0.8551315789473684
1,MAR1,naive,26.38,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8821710526315789
1,MAR1,pseudo_labels,26.38,0.9388560157790927,0.515625,0.06060606060606061,0.8813815789473683
1,MAR1,iterative_pseudo_labels,26.38,0.9388560157790927,0.515625,0.06060606060606061,0.8813815789473683
1,MAR2,naive,26.71,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8902631578947369
1,MAR2,pseudo_labels,26.71,0.9388560157790927,0.515625,0.06060606060606061,0.8870394736842105
1,MAR2,iterative_pseudo_labels,26.71,0.9388560157790927,0.515625,0.06060606060606061,0.8870394736842105
1,MNAR,naive,25.86,0.9388560157790927,0.515625,0.06060606060606061,0.8778947368421052
1,MNAR,pseudo_labels,25.86,0.9368836291913215,0.5,0.0,0.8751973684210527
1,MNAR,iterative_pseudo_labels,25.86,0.9368836291913215,0.5,0.0,0.8751973684210527
2,None,Oracle,0.0,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.867171052631579
2,MCAR_0.2,naive,20.26,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.8636842105263157
2,MCAR_0.2,pseudo_labels,20.26,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8626973684210527
2,MCAR_0.2,iterative_pseudo_labels,20.26,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8626973684210527
2,MCAR_0.5,naive,48.75,0.9309664694280079,0.5259868421052631,0.10256410256410256,0.859078947368421
2,MCAR_0.5,pseudo_labels,48.75,0.9368836291913215,0.5,0.0,0.8586842105263159
2,MCAR_0.5,iterative_pseudo_labels,48.75,0.9368836291913215,0.5,0.0,0.8586842105263159
2,MCAR_0.8,naive,79.14,0.9329388560157791,0.512467105263158,0.05555555555555555,0.8802631578947369
2,MCAR_0.8,pseudo_labels,79.14,0.9368836291913215,0.5,0.0,0.885
2,MCAR_0.8,iterative_pseudo_labels,79.14,0.9368836291913215,0.5,0.0,0.885
2,MAR1,naive,27.37,0.9349112426035503,0.528092105263158,0.10810810810810811,0.8687499999999999
2,MAR1,pseudo_labels,27.37,0.9349112426035503,0.49894736842105264,0.0,0.8801973684210527
2,MAR1,iterative_pseudo_labels,27.37,0.9349112426035503,0.49894736842105264,0.0,0.8801973684210527
2,MAR2,naive,24.74,0.9368836291913215,0.5291447368421053,0.1111111111111111,0.8651315789473685
2,MAR2,pseudo_labels,24.74,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8626315789473684
2,MAR2,iterative_pseudo_labels,24.74,0.9368836291913215,0.5145723684210526,0.058823529411764705,0.8626315789473684
2,MNAR,naive,28.42,0.9349112426035503,0.5135197368421053,0.05714285714285714,0.8576973684210526
2,MNAR,pseudo_labels,28.42,0.9388560157790927,0.515625,0.06060606060606061,0.8517105263157895
2,MNAR,iterative_pseudo_labels,28.42,0.9388560157790927,0.515625,0.06060606060606061,0.8517105263157895
3,None,Oracle,0.0,0.9349112426035503,0.5572368421052631,0.1951219512195122,0.8380263157894736
3,MCAR_0.2,naive,19.14,0.9329388560157791,0.5561842105263157,0.19047619047619047,0.8357236842105263
3,MCAR_0.2,pseudo_labels,19.14,0.9349112426035503,0.5426644736842106,0.15384615384615385,0.8351973684210527
3,MCAR_0.2,iterative_pseudo_labels,19.14,0.9349112426035503,0.5426644736842106,0.15384615384615385,0.8351973684210527
3,MCAR_0.5,naive,51.32,0.9368836291913215,0.5582894736842106,0.2,0.8312499999999999
3,MCAR_0.5,pseudo_labels,51.32,0.9408284023668639,0.53125,0.11764705882352941,0.8299342105263158
3,MCAR_0.5,iterative_pseudo_labels,51.32,0.9408284023668639,0.53125,0.11764705882352941,0.8299342105263158
3,MCAR_0.8,naive,77.89,0.9329388560157791,0.6144736842105263,0.32,0.8317763157894736
3,MCAR_0.8,pseudo_labels,77.89,0.9368836291913215,0.5,0.0,0.8259210526315789
3,MCAR_0.8,iterative_pseudo_labels,77.89,0.9368836291913215,0.5,0.0,0.8259210526315789
