Seed,Scheme,Approach,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC
0,None,Oracle,,,0.0,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8545454545454546
0,MCAR_0.2,naive,,,21.67,0.6666666666666666,0.6772727272727272,0.5882352941176471,0.7727272727272727
0,MCAR_0.2,self_training,1.0,SVC,21.67,0.6190476190476191,0.6318181818181818,0.5,0.7636363636363637
0,MCAR_0.2,self_training,1.0,LogisticRegression,21.67,0.9047619047619048,0.9045454545454545,0.9090909090909091,0.9363636363636364
0,MCAR_0.2,self_training,1.0,RandomForestClassifier,21.67,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8545454545454546
0,MCAR_0.2,self_training,1.0,XGBClassifier,21.67,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8545454545454546
0,MCAR_0.2,label_propagation,,,21.67,0.5714285714285714,0.5818181818181818,0.47058823529411764,0.7181818181818181
0,MCAR_0.5,naive,,,46.67,0.8571428571428571,0.8636363636363636,0.8421052631578947,0.9181818181818182
0,MCAR_0.5,self_training,1.0,SVC,46.67,0.5238095238095238,0.5272727272727272,0.5,0.6727272727272726
0,MCAR_0.5,self_training,1.0,LogisticRegression,46.67,0.7619047619047619,0.7727272727272727,0.7058823529411765,0.990909090909091
0,MCAR_0.5,self_training,1.0,RandomForestClassifier,46.67,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8545454545454546
0,MCAR_0.5,self_training,1.0,XGBClassifier,46.67,0.47619047619047616,0.48636363636363633,0.35294117647058826,0.5272727272727273
0,MCAR_0.5,label_propagation,,,46.67,0.5238095238095238,0.5409090909090909,0.2857142857142857,0.6818181818181818
0,MCAR_0.8,naive,,,73.33,0.5714285714285714,0.5909090909090909,0.3076923076923077,0.5909090909090908
0,MCAR_0.8,self_training,1.0,SVC,73.33,0.47619047619047616,0.5,0.0,0.5636363636363637
0,MCAR_0.8,self_training,1.0,LogisticRegression,73.33,0.6190476190476191,0.6181818181818182,0.6363636363636364,0.6909090909090909
0,MCAR_0.8,self_training,1.0,RandomForestClassifier,73.33,0.5238095238095238,0.5409090909090909,0.2857142857142857,0.6
0,MCAR_0.8,self_training,1.0,XGBClassifier,73.33,0.6666666666666666,0.6772727272727272,0.5882352941176471,0.7
0,MCAR_0.8,label_propagation,,,73.33,0.47619047619047616,0.5,0.0,0.5636363636363637
0,MAR1,naive,,,45.0,0.5714285714285714,0.5636363636363637,0.64,0.7454545454545455
0,MAR1,self_training,1.0,SVC,45.0,0.6666666666666666,0.6636363636363636,0.6956521739130435,0.6727272727272726
0,MAR1,self_training,1.0,LogisticRegression,45.0,0.7142857142857143,0.7227272727272727,0.6666666666666666,0.7545454545454545
0,MAR1,self_training,1.0,RandomForestClassifier,45.0,0.7619047619047619,0.759090909090909,0.782608695652174,0.8363636363636364
0,MAR1,self_training,1.0,XGBClassifier,45.0,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.8545454545454546
0,MAR1,label_propagation,,,45.0,0.6190476190476191,0.6318181818181818,0.5,0.7272727272727273
0,MAR2,naive,,,50.0,0.7619047619047619,0.7681818181818182,0.7368421052631579,0.8
